what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1432948411261
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1432948411263
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1432948411267
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1432948411269
started,bundle,org.eclipse.mylyn.bugzilla.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.core",1432948411272
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.ui",1432948411273
started,bundle,org.eclipse.mylyn.commons.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.core",1432948411274
started,bundle,org.eclipse.mylyn.commons.net,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.net",1432948411274
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.core",1432948411275
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.feed",1432948411277
started,bundle,org.eclipse.mylyn.commons.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.ui",1432948411277
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.workbench",1432948411279
started,bundle,org.eclipse.mylyn.context.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.core",1432948411279
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1432948411281
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1432948411282
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1432948411284
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1432948411287
started,bundle,org.jboss.ide.eclipse.as.core,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.as.core",1432948411290
started,bundle,org.jboss.ide.eclipse.as.ui,2.3.0.v20120615-1559-H138-Final,"org.jboss.ide.eclipse.as.ui",1432948411290
started,bundle,org.jboss.tools.central,1.0.0.v20120612-0053-H99-Final,"org.jboss.tools.central",1432948411290
started,bundle,org.jboss.tools.common,3.3.0.v20120611-1634-H74-Final,"org.jboss.tools.common",1432948411291
started,bundle,org.jboss.tools.common.model,3.3.0.v20120611-1634-H74-Final,"org.jboss.tools.common.model",1432948411292
started,bundle,org.jboss.tools.common.validation,3.3.0.v20120611-1634-H74-Final,"org.jboss.tools.common.validation",1432948411293
started,bundle,org.jboss.tools.forge.core,1.0.0.v20120611-1732-H94-Final,"org.jboss.tools.forge.core",1432948411295
started,bundle,org.jboss.tools.forge.ui,1.0.0.v20120611-1732-H94-Final,"org.jboss.tools.forge.ui",1432948411296
started,bundle,org.jboss.tools.maven.sourcelookup.core,1.3.0.v20120613-2141-H115-Final,"org.jboss.tools.maven.sourcelookup.core",1432948411296
started,bundle,org.jboss.tools.maven.sourcelookup.ui,1.3.0.v20120613-2141-H115-Final,"org.jboss.tools.maven.sourcelookup.ui",1432948411301
started,bundle,org.jboss.tools.project.examples,1.2.1.v20120612-0012-H106-Final,"org.jboss.tools.project.examples",1432948411301
started,bundle,org.jboss.tools.runtime.core,1.3.0.v20120611-2354-H105-Final,"org.jboss.tools.runtime.core",1432948411301
started,bundle,org.jboss.tools.runtime.ui,1.3.0.v20120611-2354-H105-Final,"org.jboss.tools.runtime.ui",1432948411316
started,bundle,org.jboss.tools.seam.core,3.3.0.v20120612-1916-H130-Final,"org.jboss.tools.seam.core",1432948411316
started,bundle,org.jboss.tools.seam.ui,3.3.0.v20120612-1916-H130-Final,"org.jboss.tools.seam.ui",1432948411318
started,bundle,org.jboss.tools.usage,1.1.0.v20120611-1654-H68-Final,"org.jboss.tools.usage",1432948411320
started,bundle,com.collabnet.subversion.merge,3.0.9,"com.collabnet.subversion.merge",1432948411320
started,bundle,org.tigris.subversion.clientadapter,1.8.3,"org.tigris.subversion.clientadapter",1432948411320
started,bundle,org.tigris.subversion.subclipse.core,1.8.12,"org.tigris.subversion.subclipse.core",1432948411320
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1432948411320
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1432948411322
started,bundle,org.tigris.subversion.subclipse.ui,1.8.12,"org.tigris.subversion.subclipse.ui",1432948411325
started,bundle,org.codehaus.groovy.eclipse.dsl,2.6.1.xx-20120301-1000-e37-RELEASE,"org.codehaus.groovy.eclipse.dsl",1432948411327
started,bundle,org.eclipse.jdt.core,3.7.3.xx-20120301-1000-e37-RELEASE,"org.eclipse.jdt.core",1432948411330
started,bundle,org.eclipse.jdt.groovy.core,2.6.1.xx-20120301-1000-e37-RELEASE,"org.eclipse.jdt.groovy.core",1432948411331
os,sysinfo,,,"win32",1432948411343
arch,sysinfo,,,"x86",1432948411343
ws,sysinfo,,,"win32",1432948411343
locale,sysinfo,,,"pt_BR",1432948411343
processors,sysinfo,,,"1",1432948411343
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1432948411343
java.runtime.version,sysinfo,,,"1.7.0_75-b13",1432948411343
java.specification.name,sysinfo,,,"Java Platform API Specification",1432948411343
java.specification.vendor,sysinfo,,,"Oracle Corporation",1432948411343
java.specification.version,sysinfo,,,"1.7",1432948411343
java.vendor,sysinfo,,,"Oracle Corporation",1432948411343
java.version,sysinfo,,,"1.7.0_75",1432948411343
java.vm.info,sysinfo,,,"mixed mode, sharing",1432948411343
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1432948411343
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1432948411343
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1432948411343
java.vm.specification.version,sysinfo,,,"1.7",1432948411343
java.vm.vendor,sysinfo,,,"Oracle Corporation",1432948411343
java.vm.version,sysinfo,,,"24.75-b04",1432948411343
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1432948411350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432948418257
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1432948421778
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1432948421797
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1432948421823
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1432948421902
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1432948421904
opened,editor,org.jboss.tools.central,1.0.0.v20120612-0053-H99-Final,"org.jboss.tools.central.editors.JBossCentralEditor",1432948422183
activated,editor,org.jboss.tools.central,1.0.0.v20120612-0053-H99-Final,"org.jboss.tools.central.editors.JBossCentralEditor",1432948422269
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1432948422827
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1432948422838
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1432948425556
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1432948426428
closed,editor,org.jboss.tools.central,1.0.0.v20120612-0053-H99-Final,"org.jboss.tools.central.editors.JBossCentralEditor",1432948426428
started,bundle,org.jboss.tools.maven.project.examples,1.3.0.v20120613-2141-H115-Final,"org.jboss.tools.maven.project.examples",1432948426513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432948427500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432948428627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432948433083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432948434860
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432948435049
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1432948436806
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1432948436808
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1432948436810
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1432948436811
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1432948436813
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1432948436815
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1432948436818
